,Unnamed: 0,Turnover ;  Total (State) ;  Food retailing ;,Turnover ;  Total (State) ;  Household goods retailing ;,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Total (State) ;  Department stores ;,Turnover ;  Total (State) ;  Other retailing ;,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  Total (State) ;  Food retailing ;.1,Turnover ;  Total (State) ;  Household goods retailing ;.1,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.1",Turnover ;  Total (State) ;  Department stores ;.1,Turnover ;  Total (State) ;  Other retailing ;.1,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.1",Turnover ;  Total (State) ;  Total (Industry) ;.1,Turnover ;  Total (State) ;  Food retailing ;.2,Turnover ;  Total (State) ;  Household goods retailing ;.2,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.2",Turnover ;  Total (State) ;  Department stores ;.2,Turnover ;  Total (State) ;  Other retailing ;.2,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.2",Turnover ;  Total (State) ;  Total (Industry) ;.2
121,1991-08-01 00:00:00,2684,1231.6,664.8,770.4,1058.4,853.5,7262.7,2628.9,1263.9,712.1,843.9,1083.4,867.3,7399.6,2605.5,1243,710,846.7,1062.3,876,7350.2
122,1991-09-01 00:00:00,2452.1,1165.6,648.6,741.5,1008.2,882,6898.1,2594.8,1241.1,696.9,846.5,1049.4,891.9,7320.6,2617.2,1250.8,712.8,852.7,1063,893,7396.3
123,1991-10-01 00:00:00,2679.6,1312.5,753,858.6,1081.9,938.9,7624.4,2635.5,1270.7,729.5,862.3,1068,918.6,7484.6,2622.8,1251.3,717.1,856.5,1065.9,905.3,7420.6
124,1991-11-01 00:00:00,2693.4,1343.1,740.7,944.7,1128.7,953.8,7804.4,2636.5,1252.3,707.7,842.1,1069.7,928,7436.4,2626.9,1247.4,719.9,858.1,1069.1,912.1,7432.9
125,1991-12-01 00:00:00,2984.8,1660.7,1046.5,1600.3,1473.1,1048.3,9813.7,2620.5,1216.1,724.9,864.9,1064.3,919.9,7410.7,2634,1244.3,723.7,859,1076,915.6,7450.4
126,1992-01-01 00:00:00,2684.5,1203.5,695.3,740,1043.7,938.3,7305.3,2633.6,1239.3,733,866.3,1089.7,902.2,7464.1,2645,1245.7,727.9,861.6,1082.4,920.1,7484.3
127,1992-02-01 00:00:00,2562.4,1143.3,611.4,665.9,1003.6,861.5,6848.2,2645.8,1251.8,736.5,871.3,1082.2,895.5,7483.1,2665.2,1255.4,733.7,866.3,1089,925.1,7533.9
128,1992-03-01 00:00:00,2643.1,1199.5,645.5,701.5,1038.9,936.1,7164.6,2704.7,1273.4,729.2,853.4,1095.4,943.6,7599.8,2684.7,1264.6,736.1,869,1092.5,931.5,7580.6
129,1992-04-01 00:00:00,2707.1,1206.7,721.6,831.4,1036.8,932,7435.5,2718.4,1301.9,733.1,870.8,1110.4,949.9,7684.5,2706,1273.6,736.7,870.1,1091.4,935.4,7613
130,1992-05-01 00:00:00,2697.5,1228.4,769.2,878.6,1048.2,929.4,7551.4,2723.7,1267.5,745.8,885,1088.5,960.9,7671.5,2725,1275.7,735.1,869.3,1086.5,934.9,7627
131,1992-06-01 00:00:00,2584.2,1199.3,721,826,981.7,868.5,7180.7,2733.8,1262.9,733.8,874.2,1071.7,921,7597.5,2735.5,1279,731.6,869.1,1082.7,930.7,7626.4
132,1992-07-01 00:00:00,2754.7,1278.9,729.6,788.2,1044.4,891.3,7487,2744.2,1293.4,735.4,861.6,1077.4,905.7,7617.6,2741.7,1282.1,726.8,870,1080.8,922.4,7621.5
133,1992-08-01 00:00:00,2670.5,1194.8,633.8,723.6,1021.1,875.5,7119.3,2733.4,1265.2,704.3,850.7,1068,902.3,7523.9,2742.9,1288.6,720.3,872.2,1084,914.8,7623.8
134,1992-09-01 00:00:00,2665.6,1260.6,668.4,819.8,1077.5,914.1,7406,2754.4,1302.3,703.7,884.2,1092.4,919.4,7656.5,2743.8,1298.3,715.6,875.5,1092.6,910.5,7638.4
135,1992-10-01 00:00:00,2858.5,1379.7,747.9,902.5,1121.8,935.7,7946.1,2755,1334.5,723.8,887.2,1109.5,913.9,7723.8,2748.1,1311.5,714.8,880.1,1101,909.9,7664.7
136,1992-11-01 00:00:00,2700.6,1382.2,734,968.6,1169.8,931.8,7887,2749.1,1324,720.6,906.5,1126.7,911.4,7738.4,2755.6,1323,713.6,884.7,1108.8,908.7,7693.6
137,1992-12-01 00:00:00,3221.5,1817.1,1060.3,1650.9,1584.1,1045.8,10379.6,2738,1307.5,710.5,852.4,1117.9,907,7633.4,2764.9,1334.3,711.4,887.7,1112.3,905.6,7718.5
138,1993-01-01 00:00:00,2789.1,1292.7,663.8,762.1,1030.4,917.8,7455.9,2789.3,1363.8,711.6,910,1101.8,894,7770.5,2780,1348.6,707.8,890.9,1115.7,898.3,7741
139,1993-02-01 00:00:00,2610.6,1190.4,568.3,643,982.5,838.1,6833,2810.9,1345.8,707.3,886.1,1099.4,905.2,7754.6,2797.8,1358.1,705.6,894.8,1118.8,890.2,7765.1
140,1993-03-01 00:00:00,2795.8,1346.6,634.5,754.1,1096.6,869.8,7497.4,2811.9,1382.9,702.2,898,1131,869.5,7795.4,2816.6,1365.7,702.1,897.8,1124.1,883.7,7789.1
141,1993-04-01 00:00:00,2832.7,1274.5,668,840.7,1061.8,862.1,7539.8,2831,1375.3,677.8,888.9,1141.6,877.5,7792.1,2830.1,1371.3,700.9,898.3,1130.1,879.4,7811.2
142,1993-05-01 00:00:00,2773.6,1324.2,723,906.6,1095.7,852.1,7675.2,2843.6,1376.2,709.5,911.6,1147.9,880.1,7868.8,2838.9,1374,704.4,895,1135.9,878.8,7825.1
143,1993-06-01 00:00:00,2714.1,1308.6,711.5,887.1,1059,827.6,7507.9,2844,1364.4,722.6,930.9,1136.8,877,7875.6,2843.2,1374.3,707,889.6,1142.2,881.1,7834.7
144,1993-07-01 00:00:00,2876.2,1345.9,702.8,771.5,1095.6,882.3,7674.2,2859.9,1376.3,711.8,830.7,1143.5,896.8,7818.8,2844.4,1377.8,709.9,884.8,1149.7,887.3,7853
145,1993-08-01 00:00:00,2734,1300.5,639.9,728.7,1091.6,866.9,7361.4,2824.8,1377.4,707.3,872.5,1140.8,892.8,7815.7,2847.9,1389.2,709.6,882.6,1160.2,896.4,7887.1
146,1993-09-01 00:00:00,2805.7,1366.1,678.3,844.7,1165.8,904.9,7765.5,2852.4,1406.4,705.5,891.6,1177.5,903.8,7937.1,2855.3,1401.7,708.8,882.4,1174.3,908,7935.8
147,1993-10-01 00:00:00,2901.8,1438,703.9,886.9,1201.7,931.2,8063.3,2858.1,1421.7,699.6,900.7,1198.8,916.9,7995.8,2864,1418.7,708.3,885.5,1190.8,922.1,7998.9
148,1993-11-01 00:00:00,2872.4,1532.2,746.5,970,1285.1,963,8369.3,2896.3,1447,722.1,900.2,1226.7,941.4,8133.8,2876.6,1436.1,707.8,890.8,1205.4,937.4,8068.1
149,1993-12-01 00:00:00,3433.4,2011.8,1089.7,1710.5,1786,1099.5,11130.8,2893.1,1443.1,731.2,884.2,1244.8,957.3,8153.7,2889.4,1450.4,714.2,896.5,1217.4,952.3,8132.6
150,1994-01-01 00:00:00,2834.4,1373.4,665.3,745.7,1127.3,984.5,7730.6,2873.2,1449.5,713.5,885.1,1213.4,960.3,8095,2900.9,1460.4,718.9,902.9,1223.2,963.9,8184.4
151,1994-02-01 00:00:00,2724.2,1325.1,579.3,664.4,1100.6,901.6,7295.2,2930.3,1497,718.3,916.8,1238.8,974.6,8275.7,2912.6,1469.9,722.3,908.6,1227.1,972.3,8220.7
152,1994-03-01 00:00:00,3048.7,1451.4,685.9,821.5,1217.5,1015.2,8240.1,2941.3,1464.2,735.9,928.2,1234.5,990.3,8294.3,2922.4,1476.6,723.9,913.9,1233.5,977,8249.5
153,1994-04-01 00:00:00,2837.4,1334.8,709.4,831.7,1123,939.1,7775.5,2917.3,1474.8,735.3,904.7,1231.3,973,8236.5,2935.8,1484.6,723.6,917,1242.4,979.6,8281.2
154,1994-05-01 00:00:00,2848.7,1443.6,731.6,908,1187.7,941.4,8061.2,2948.4,1497.8,720.7,934.6,1247.4,972.3,8321.2,2952.8,1492.6,720.8,918.6,1253.6,981.8,8324.3
155,1994-06-01 00:00:00,2869.9,1456,695.9,912.6,1187.9,934.8,8057.1,2964.8,1504.5,703.9,938.9,1269.1,983.3,8364.4,2972.6,1501.6,719.8,919.9,1264,985.4,8381.3
156,1994-07-01 00:00:00,2953.3,1427.8,682.5,782.9,1216.9,1013.3,8076.6,3002.6,1485.9,710.1,863.7,1277.9,1036.3,8376.6,2995.6,1509.9,724.7,922.6,1274.2,1032,8444.9
157,1994-08-01 00:00:00,2964.7,1503.1,677.3,798.8,1261.3,1017.5,8222.7,3021.5,1550.8,736.9,935,1288.5,1038.7,8571.5,3020.3,1512.8,729.7,926.4,1282.2,1037.3,8506
158,1994-09-01 00:00:00,3013.5,1475.2,722.3,887,1271.9,1040.7,8410.6,3049.8,1515.4,747.6,953.5,1291.5,1044.6,8602.5,3044,1516.9,736.1,929.7,1287.3,1040.7,8557.8
159,1994-10-01 00:00:00,3081.6,1508.7,748.2,934.6,1303.5,1061.8,8638.4,3074.2,1502.9,750.7,949.3,1314,1044.7,8635.8,3065.3,1515.1,740.4,930.7,1288,1043,8593.5
160,1994-11-01 00:00:00,3082.7,1616.5,773.9,1000.4,1363,1070.2,8906.7,3071.3,1521.9,744.2,918.8,1286.1,1045.8,8588.1,3086.4,1516.1,745.2,930.4,1287.9,1045.1,8621
161,1994-12-01 00:00:00,3700,2058.9,1092.1,1817.5,1827.4,1188.3,11684.1,3110.5,1500.6,731.1,924.8,1288.5,1040.1,8595.6,3110.1,1519.5,748.8,930.2,1288.9,1048.7,8653.3
162,1995-01-01 00:00:00,3063,1463.9,703.5,752.4,1209.3,1076.3,8268.3,3133.1,1536,750.2,908.6,1299.8,1057.2,8684.8,3133,1530.1,753.1,931.3,1293.6,1058.2,8701.8
163,1995-02-01 00:00:00,2949.1,1373.3,615.7,682.5,1148.1,981.6,7750.3,3172,1552.9,763.2,945.1,1295.7,1063.4,8792.4,3161.2,1547.7,756.5,934.6,1303,1068.4,8771.1
164,1995-03-01 00:00:00,3244.4,1533.7,702.4,811.2,1266.3,1098.9,8656.9,3177.3,1562.1,760.7,946.2,1309.5,1086.5,8842.2,3191.9,1568.5,762.1,942.3,1314.9,1079.7,8856.5
165,1995-04-01 00:00:00,3151,1420.6,755.9,906,1213.2,1067.8,8514.5,3219.6,1581.5,788,965.2,1327.1,1091.7,8973.2,3224,1585.6,767.4,950.3,1329.1,1089.8,8944.5
166,1995-05-01 00:00:00,3200,1576.3,766,927.2,1307.7,1083.3,8860.4,3268.8,1595.5,748.4,943.9,1351,1108.3,9015.9,3254.9,1600.2,767.8,955.9,1345.3,1099.8,9025.8
167,1995-06-01 00:00:00,3179.6,1607.5,761.4,906.8,1267.7,1045,8767.9,3284.1,1646.4,774.6,955.6,1360.1,1100.8,9121.7,3282.9,1613.6,769.7,957.9,1360.5,1108.1,9093
168,1995-07-01 00:00:00,3212,1545.7,726.7,880.6,1302.7,1094.4,8762.1,3306.5,1614.6,761.7,953.6,1375.4,1115.1,9126.8,3312.5,1620.9,768.9,957.3,1372.7,1116.3,9149
169,1995-08-01 00:00:00,3342.3,1550.8,727.6,873.9,1360,1109.7,8964.4,3339.5,1606.1,776.3,985.7,1382.1,1120.2,9209.9,3341,1623.3,771.7,956.5,1382,1125.3,9198.9
170,1995-09-01 00:00:00,3301.7,1583,751.6,856.8,1377.1,1126.1,8996.2,3360.1,1633.5,781.4,930.9,1402.2,1138.9,9247,3365.8,1621,773.9,957.6,1387.8,1137.5,9245.2
171,1995-10-01 00:00:00,3369.8,1622.6,769.4,920.6,1365.9,1166.5,9214.9,3390,1616.1,772.4,962.6,1378.9,1150.8,9270.7,3389.2,1620.2,778.6,960.1,1390.9,1149.5,9287.2
172,1995-11-01 00:00:00,3485.3,1705.5,813.6,1067.4,1461.4,1194.3,9727.5,3417.8,1606.3,777,950.5,1377.1,1163.4,9292.2,3402.1,1618,783.3,963.4,1393,1161.2,9324.7
173,1995-12-01 00:00:00,3996.9,2212.4,1156.5,1857.2,1987.4,1314.7,12525,3437.3,1639.3,789.1,977.2,1409.7,1167.7,9420.2,3413.5,1619.5,785.1,966.5,1392.9,1171.3,9354.2
174,1996-01-01 00:00:00,3357.2,1580.7,754.8,833.1,1345.6,1213.1,9084.7,3390.6,1616,792.6,985.5,1415.6,1183.5,9383.7,3422.8,1624.2,788,969.1,1394.3,1176.5,9376.6
175,1996-02-01 00:00:00,3339,1485.5,662.9,737.1,1279.6,1128,8632.1,3432.7,1621.7,786.6,965.3,1395.8,1176.3,9378.3,3432.8,1627.2,787,970.5,1395.1,1180.1,9396.9
176,1996-03-01 00:00:00,3468.7,1582.6,717.6,812,1313.2,1180,9074.2,3437.1,1643.3,789.5,960.4,1388.4,1174.5,9393.2,3446.2,1638,788.3,971.2,1395.4,1180.2,9423.2
177,1996-04-01 00:00:00,3346.5,1498.9,758.2,895.2,1278.4,1169.3,8946.5,3463.5,1645.4,789.6,970.1,1390,1196,9454.5,3463.6,1654,789.3,971.3,1395.8,1179.3,9455.2
178,1996-05-01 00:00:00,3515.8,1644.5,807.1,962.8,1359.2,1145.7,9435.2,3489.8,1655.5,778.6,969.2,1395.7,1155.6,9444.4,3486.1,1672.6,789.7,971.3,1394.3,1172.6,9487.5
179,1996-06-01 00:00:00,3329.3,1610.9,755.8,908.6,1289.5,1109,9003.1,3515.8,1693,791.1,976.9,1408.7,1177.4,9563.1,3506.2,1688.7,791,969.6,1391.9,1167.1,9512.4
180,1996-07-01 00:00:00,3433.3,1695,777.9,908,1338.8,1138.1,9291.1,3528.5,1734.9,803.8,974,1384.6,1153.5,9579.2,3522.8,1698.7,792.2,966.8,1388.9,1154.4,9523.2
181,1996-08-01 00:00:00,3577.3,1664.9,746.1,888.9,1363.3,1145.7,9386.1,3525.8,1718.1,793.4,971,1388.3,1147.4,9543.9,3535.4,1704.6,790,962.4,1384.3,1140.7,9517
182,1996-09-01 00:00:00,3377.2,1583.8,739.9,833.7,1317.4,1104.9,8956.8,3552,1665.3,786,948.7,1367.4,1129.5,9448.8,3546.5,1702.6,789.2,959.3,1382.2,1127.8,9507.1
183,1996-10-01 00:00:00,3648.3,1740.4,806.1,933.7,1404.8,1142.2,9675.6,3553.2,1705,787.8,938,1386.9,1112.4,9483.3,3557.9,1702.9,788,961.1,1384.6,1119.4,9512.9
184,1996-11-01 00:00:00,3649.2,1798.7,808,1081.6,1463.1,1129.4,9930.1,3578.6,1701.7,774.2,973.2,1388,1107.4,9523.1,3572.1,1702.2,786.6,967.1,1391.1,1116.6,9540.8
185,1996-12-01 00:00:00,4034.4,2296.1,1148.8,1837.6,1975.8,1230.8,12523.5,3565,1716.9,788.9,982.2,1409,1107.6,9569.5,3587,1705.2,788.1,975.3,1402.3,1121.2,9588.3
186,1997-01-01 00:00:00,3688.2,1686,777.1,840.9,1344.2,1180.1,9516.5,3613.2,1699.9,802.7,972.4,1402.2,1143.4,9633.8,3603.7,1711.6,789.7,981.1,1414.8,1131.3,9644.4
187,1997-02-01 00:00:00,3363,1576.9,639.8,727.4,1269.3,1059.5,8636,3621.4,1782.5,791.1,1014.8,1440.8,1152.3,9803,3614.8,1718.5,792.8,982,1428.8,1143.8,9694.6
188,1997-03-01 00:00:00,3676.9,1608.8,700.9,857.9,1332.5,1148,9325,3648.7,1738.9,793.7,980.8,1444.7,1158,9764.8,3626.3,1723.1,795.7,977.6,1440.7,1155.9,9731.8
189,1997-04-01 00:00:00,3480.1,1610.8,775.5,849,1364.4,1141.3,9221.1,3601.3,1709,786.2,942.8,1447.8,1155.4,9642.5,3633.9,1727.5,798.3,971.7,1452.6,1165.2,9759.4
190,1997-05-01 00:00:00,3682.6,1712.9,845.3,994.8,1413.2,1170.3,9819.1,3644.8,1742.4,818,983.2,1462.7,1174.2,9825.3,3640.5,1730.7,800.9,969.1,1463.2,1170.8,9785.2
191,1997-06-01 00:00:00,3414.8,1664.3,749.4,830.2,1344.5,1113.5,9116.7,3668.5,1736.3,797.5,940.5,1471,1179.5,9793.3,3646.8,1732.4,801.9,972.3,1472.3,1174.6,9816.4
192,1997-07-01 00:00:00,3652.3,1698,791.7,971.1,1441.7,1164.6,9719.3,3679.4,1736.1,806.9,1000.9,1481.8,1172.7,9877.8,3694.3,1734.5,804.7,979.4,1482.1,1177.2,9856.9
193,1997-08-01 00:00:00,3669,1662.9,740.1,836,1443.5,1173.3,9524.8,3703.6,1731.9,802.2,980,1490.3,1186.7,9894.7,3708.8,1737.6,809.1,988.3,1489.2,1178.6,9906.8
194,1997-09-01 00:00:00,3585.7,1678.9,777.5,939.1,1461.3,1154.1,9596.6,3730.1,1740.3,811.9,1018,1497.5,1172.7,9970.5,3730.7,1747.2,815.6,996.6,1494.3,1176.5,9960.1
195,1997-10-01 00:00:00,3879.4,1811.1,841.7,976.9,1523.2,1204.8,10237,3743.2,1754.6,820.8,998.1,1497.5,1163.6,9977.9,3752.7,1758.8,820.3,1001.1,1497.3,1173,10006.4
196,1997-11-01 00:00:00,3794,1835.5,863.6,1111.3,1552.9,1183.7,10340.9,3784,1777.2,837.6,995.5,1499.8,1174.6,10068.6,3775.1,1775.9,827,1002.9,1499.8,1168.2,10042.4
197,1997-12-01 00:00:00,4339.8,2418.4,1231.1,1879.1,2143.1,1306.7,13318.2,3790.8,1789.8,832.1,989.2,1496.9,1173.4,10072.2,3792.1,1793.2,830,1004.8,1501.1,1161.6,10068.7
198,1998-01-01 00:00:00,3973.8,1724.9,803.2,917.3,1437.6,1185.9,10042.7,3870.9,1742.6,829,1026.4,1507.8,1152.3,10129.1,3842.7,1726.7,834.1,1004.4,1502.8,1156.4,10082.5
199,1998-02-01 00:00:00,3571.6,1531.3,681,716.2,1322.4,1050,8872.4,3850.1,1730.4,844.6,1002.5,1504.2,1145.3,10077.1,3852.9,1737.1,839.6,1003.6,1503.8,1151.3,10091.6
200,1998-03-01 00:00:00,3799.6,1660,749.7,822.9,1402.3,1141.1,9575.7,3850.7,1739.5,833,992.1,1497.7,1148.5,10061.5,3866.3,1737.4,847.2,1003,1505.2,1154.1,10103.9
201,1998-04-01 00:00:00,3832.3,1602,829.8,970.1,1415.8,1106.7,9756.6,3858.7,1746.9,856.2,1022.5,1515.4,1119.8,10119.4,3884.1,1734.6,856.6,1004.2,1506.2,1128.6,10126.6
202,1998-05-01 00:00:00,3882.4,1677,894,970.2,1432.9,1144.2,10000.6,3914.8,1726.8,877,1002.7,1502.3,1153.3,10176.7,3904.9,1735.1,871.6,1006.6,1510.8,1137.1,10164.9
203,1998-06-01 00:00:00,3705.2,1668.8,835,849.4,1409.5,1088.2,9556.1,3958.6,1726.5,879.6,954.6,1523.3,1147.5,10190,3933.2,1730.2,883.2,1011,1516.2,1147.6,10220.3
204,1998-07-01 00:00:00,3951.3,1699.6,888.2,1042.3,1481.7,1162.2,10225.4,3941.7,1717.7,903.2,1079.2,1514.4,1157,10313.2,3960.8,1725,894.3,1015.4,1522,1158.1,10276.3
205,1998-08-01 00:00:00,3888.9,1649.9,822.5,869.9,1459.4,1144.8,9835.4,3988.9,1729.3,903.3,1014.4,1520.4,1162.2,10318.5,3987.1,1723.3,901.9,1019.8,1528.7,1168.6,10326.1
206,1998-09-01 00:00:00,3897.8,1685,869.3,939.4,1518.7,1149.5,10059.8,4015,1734,901.1,1019.8,1549.5,1168.4,10387.8,4009.4,1723,902.2,1023.9,1533.6,1177.2,10369.9
207,1998-10-01 00:00:00,4213.3,1783.6,928.8,1021.3,1567.9,1258.6,10773.4,4050.8,1734.9,906.5,1014.8,1551.3,1215.2,10473.6,4033.4,1724.4,902.6,1029.2,1540.6,1186,10416.3
208,1998-11-01 00:00:00,4003.3,1776,925.5,1137.7,1599.4,1200.8,10642.7,4050.8,1706.1,901.4,1039.9,1545.6,1191.4,10435.2,4056.7,1740.4,902,1035.3,1547.4,1193.1,10473.6
209,1998-12-01 00:00:00,4690.1,2323.2,1348.5,1975.7,2189.7,1310.2,13837.5,4025,1738.9,898.5,1013.6,1522.8,1173.3,10372,4087.3,1756,906.1,1041.2,1555.4,1199.4,10545.7
210,1999-01-01 00:00:00,4218.6,1775.4,866.6,942,1490.5,1244,10537.1,4164.9,1798.2,906.5,1092.9,1583.3,1222.6,10768.4,4118.8,1778.3,910.7,1045.9,1569.1,1214.7,10630.7
211,1999-02-01 00:00:00,3844.3,1597.2,736.7,738.4,1389.2,1124.4,9430.1,4147.3,1805,916.5,1036,1583.9,1229.7,10718.2,4143.9,1803.8,923.9,1047.5,1582.5,1228.5,10716
212,1999-03-01 00:00:00,4250.9,1733.6,864.4,903.2,1542.5,1245.4,10540,4191.3,1780.7,940.2,1054.4,1598.6,1234.9,10800.1,4164.8,1820.9,934,1044,1595.5,1242.3,10787.6
213,1999-04-01 00:00:00,4091.1,1681,930.6,953.2,1498.9,1236,10390.7,4162,1844.5,966.6,1025,1618.1,1253.8,10870,4181.6,1835.2,941.1,1039.8,1605,1254.8,10843.9
214,1999-05-01 00:00:00,4079,1764.5,937,1011.2,1517.9,1271.4,10581,4187.9,1843.3,928.8,1042.7,1606,1289.3,10898,4194.6,1844.8,946.4,1038.5,1614.3,1261.1,10888.9
215,1999-06-01 00:00:00,3961.9,1779,915.5,894.4,1505.8,1208,10264.8,4200.9,1836.3,957.9,1019.7,1615.7,1277.2,10907.7,4206.7,1855.9,954,1042.3,1621.6,1258.5,10934.5
216,1999-07-01 00:00:00,4239.4,1817.4,913.3,1054.5,1581,1219.2,10824.9,4217.6,1849.2,934.3,1054.9,1621.8,1212.3,10890.1,4221.9,1877,955.3,1050.7,1629.5,1256.6,10993.9
217,1999-08-01 00:00:00,4117.8,1830.7,888.6,899.5,1585.1,1233.6,10555.3,4253.4,1898.3,979.7,1074.2,1637.2,1250.7,11093.5,4243,1892.8,962.5,1060.8,1634.5,1259.4,11066
218,1999-09-01 00:00:00,4184,1894.3,939.6,1002.3,1627.4,1261.3,10908.9,4264.2,1946.8,973.4,1072.1,1661.7,1276.6,11194.9,4262.6,1915.8,969.2,1069,1638.4,1267.6,11131.3
219,1999-10-01 00:00:00,4373.6,2000.7,982.2,1043.7,1622.2,1314.4,11336.8,4271.3,1950.3,970.5,1075.5,1624.5,1274.6,11166.7,4283.1,1933.8,975.8,1073.6,1640.9,1276.8,11178.5
220,1999-11-01 00:00:00,4273,2037,1022.2,1207.2,1726.2,1318.3,11584,4302,1933.7,981.8,1072,1650.1,1309,11248.6,4298.6,1944.1,977.4,1074.1,1642.1,1284.7,11197
221,1999-12-01 00:00:00,5099.8,2568.3,1471.2,2069.6,2352.7,1455.3,15016.9,4324.6,1916.4,971.2,1070.9,1633.4,1284.6,11201.2,4309.6,1949,981.1,1072.5,1641.8,1291.4,11188.1
222,2000-01-01 00:00:00,4247.2,1924.7,903.4,924.9,1496.6,1297.4,10794.2,4251.8,1966.5,955.5,1070.5,1607.4,1290.8,11142.5,4251.3,1957.8,944.1,1071.5,1605.8,1292.9,11167.4
223,2000-02-01 00:00:00,4069.7,1813.6,764.5,798.2,1462.1,1206.7,10114.8,4252.9,1977.1,917.3,1081,1607.7,1282.2,11118.2,4253.7,1961.6,949.3,1072.3,1609.4,1294.9,11154.6
224,2000-03-01 00:00:00,4353.4,1919.9,877.4,901.9,1553,1324.6,10930.1,4249.3,1986.9,944.4,1054.8,1613.8,1306.9,11156.1,4259.7,1972.7,953.9,1075.6,1616.1,1293.8,11163.2
225,2000-04-01 00:00:00,4174.4,1769.8,905.7,1024.7,1482.8,1252.5,10609.9,4260.4,1956.7,951.6,1091.7,1622.4,1280.9,11163.7,4263.2,1982.9,958.3,1082.5,1623.6,1290.6,11194.1
226,2000-05-01 00:00:00,4161.7,1985.7,995.2,1052.3,1575.8,1282.1,11052.7,4261.3,2058.5,977.9,1096.7,1637.3,1296.7,11328.4,4272.5,1993.5,961,1093.4,1630.7,1292.6,11244.3
227,2000-06-01 00:00:00,4175.1,2346.3,1103.9,1165.5,1609.6,1274.7,11675.2,4346.8,2393.9,1147.2,1311.6,1716.7,1325.4,12241.6,4281.2,2004.3,964.4,1104.8,1639.4,1297.9,11304
228,2000-07-01 00:00:00,4221.2,1875.7,808.6,859.3,1522.5,1317.9,10605.2,4334.4,1946.5,853,885.3,1596.7,1327.5,10943.4,4372.1,2033.9,948.2,1119,1667.8,1343.1,11455.8
229,2000-08-01 00:00:00,4362.9,2013.1,853,1009.2,1623.6,1328.8,11190.6,4390,2062.5,925,1160.4,1644.8,1336.2,11518.8,4376.6,2047.3,950.7,1123.1,1673.9,1352.8,11506.9
230,2000-09-01 00:00:00,4315.6,2015.7,986.4,1054.6,1642.7,1432.4,11447.4,4388.1,2063.5,1018.6,1133.8,1684.6,1447.5,11736.2,4382.7,2059,955.2,1122.7,1678.7,1364.1,11557.1
231,2000-10-01 00:00:00,4384.7,2098.2,957.7,1070.4,1692.6,1460.8,11664.4,4378.9,2051.8,953.6,1116.3,1699.9,1426.6,11627.1,4395.2,2072.5,961,1121.1,1688.6,1382.5,11617.6
232,2000-11-01 00:00:00,4450.9,2213.3,1022.4,1232.5,1792.5,1416.3,12127.8,4390.6,2094.9,967.9,1079.1,1698.7,1398.6,11629.7,4418,2084.8,972.4,1121.2,1701.4,1401.5,11698.3
233,2000-12-01 00:00:00,5194.1,2776,1499.7,2177.5,2381.5,1538.6,15567.3,4480.4,2102,1001.7,1138.7,1685,1375.8,11783.5,4452.3,2101.5,984,1124.4,1718.5,1423.1,11801.3
234,2001-01-01 00:00:00,4486.2,2095.8,945.7,971.9,1641.7,1470.8,11612.2,4465.4,2113.2,988.5,1132.4,1737.9,1458.7,11896,4492.8,2116.7,992.9,1130.8,1735.4,1446.3,11918.1
235,2001-02-01 00:00:00,4221.3,1887.4,800.3,814.6,1563.5,1338,10625.2,4561.2,2140.5,994.3,1144.2,1785.7,1469.9,12095.8,4540.1,2134.4,1000.2,1139.9,1753.8,1460.5,12038
236,2001-03-01 00:00:00,4699.1,2063.2,945.4,1017.5,1694.1,1521.2,11940.5,4572.1,2148.4,1015,1162.2,1771.7,1507,12176.4,4580.3,2157.7,1009.2,1148.1,1770.2,1469.9,12149.8
237,2001-04-01 00:00:00,4497.1,1982.7,989.6,1039.2,1626.9,1441.3,11576.8,4639.9,2188.2,1051.2,1131.5,1773.5,1465.8,12250.2,4615.2,2182.5,1016.4,1150.1,1783.4,1477.8,12240.7
238,2001-05-01 00:00:00,4603,2118.3,1056.3,1123.5,1728.6,1446.1,12075.8,4646.1,2201.9,1035,1156.4,1784.6,1458.6,12282.6,4641.4,2207.8,1023.3,1145.9,1791.4,1480,12307.5
239,2001-06-01 00:00:00,4458.2,2205.1,989.3,1024.9,1674.2,1397.6,11749.3,4665,2263.2,1026.9,1144.7,1799.9,1466.1,12365.7,4669.3,2234.5,1027.1,1138.8,1794.6,1476.7,12356.8
240,2001-07-01 00:00:00,4532.8,2217.5,976.7,1100.8,1733.8,1477.4,12038.9,4676.9,2280.9,1038,1150,1806.9,1483.4,12436.1,4697.7,2256,1030.2,1134.1,1797.6,1474.8,12401.1
241,2001-08-01 00:00:00,4745.1,2253.1,947.1,963,1792.2,1504.6,12204.9,4725.2,2292.9,1025.1,1107.4,1802.8,1489.4,12442.8,4729.2,2279.2,1034,1134.2,1802.2,1472,12455.7
